epoch:111	train_MAE:19.085155795520652	test_MAE:20.220916588268977	test_MadAE:12.798130989074707	test_MRE:0.4921967387199402	test_RMSE:28.33466339111328	test_R^2:0.6193552017211914
epoch:112	train_MAE:18.920035494837116	test_MAE:20.24488838555301	test_MadAE:11.73780345916748	test_MRE:0.4951978027820587	test_RMSE:28.344810485839844	test_R^2:0.6190824508666992
epoch:113	train_MAE:18.989823071189644	test_MAE:20.121055403304975	test_MadAE:11.527502059936523	test_MRE:0.499128133058548	test_RMSE:28.213735580444336	test_R^2:0.6225974559783936
epoch:114	train_MAE:18.886851685209425	test_MAE:19.949139500163614	test_MadAE:11.817401885986328	test_MRE:0.49435827136039734	test_RMSE:28.1102352142334	test_R^2:0.6253612041473389
epoch:115	train_MAE:18.722044975276322	test_MAE:20.132560690035994	test_MadAE:11.714393615722656	test_MRE:0.48650622367858887	test_RMSE:28.465673446655273	test_R^2:0.6158271431922913
epoch:116	train_MAE:22.57777732329843	test_MAE:22.58523192081152	test_MadAE:14.7574462890625	test_MRE:0.4400622248649597	test_RMSE:30.99474334716797	test_R^2:0.5445299744606018
epoch:117	train_MAE:19.332431191826643	test_MAE:20.98345595754254	test_MadAE:13.566070556640625	test_MRE:0.5428800582885742	test_RMSE:28.889493942260742	test_R^2:0.6043022871017456
epoch:118	train_MAE:19.721056482693427	test_MAE:20.916500071580497	test_MadAE:12.933235168457031	test_MRE:0.47079798579216003	test_RMSE:29.10743522644043	test_R^2:0.5983097553253174
epoch:119	train_MAE:18.91642238401687	test_MAE:20.347414665821336	test_MadAE:12.1160888671875	test_MRE:0.5239286422729492	test_RMSE:28.2144718170166	test_R^2:0.6225776672363281
epoch:120	train_MAE:19.075370855148343	test_MAE:20.651575537876308	test_MadAE:13.724098205566406	test_MRE:0.5222118496894836	test_RMSE:28.801910400390625	test_R^2:0.6066977977752686
epoch:121	train_MAE:18.85587550901687	test_MAE:19.935004908376964	test_MadAE:11.775588989257812	test_MRE:0.5004665851593018	test_RMSE:28.167139053344727	test_R^2:0.6238429546356201
epoch:122	train_MAE:19.504113038103547	test_MAE:21.155162232084425	test_MadAE:14.735786437988281	test_MRE:0.5828800797462463	test_RMSE:28.691951751708984	test_R^2:0.6096951961517334
epoch:123	train_MAE:18.779954733856894	test_MAE:20.192734323871072	test_MadAE:13.690237045288086	test_MRE:0.5219641923904419	test_RMSE:28.128555297851562	test_R^2:0.6248726844787598
epoch:124	train_MAE:18.690050765343223	test_MAE:20.067404542293847	test_MadAE:12.279159545898438	test_MRE:0.4877684712409973	test_RMSE:28.489585876464844	test_R^2:0.6151813268661499
epoch:125	train_MAE:18.495365446844094	test_MAE:19.55122862810864	test_MadAE:12.658157348632812	test_MRE:0.495888888835907	test_RMSE:27.443660736083984	test_R^2:0.6429184675216675
epoch:126	train_MAE:18.39335187609075	test_MAE:19.9441902200589	test_MadAE:12.424728393554688	test_MRE:0.5109395384788513	test_RMSE:28.24254608154297	test_R^2:0.621826171875
epoch:127	train_MAE:18.515959042321118	test_MAE:20.057837041884817	test_MadAE:13.369551658630371	test_MRE:0.5019518733024597	test_RMSE:28.169614791870117	test_R^2:0.623776912689209
epoch:128	train_MAE:19.24495073443863	test_MAE:20.87759734947644	test_MadAE:14.197811126708984	test_MRE:0.5735962390899658	test_RMSE:28.2659854888916	test_R^2:0.6211980581283569
epoch:129	train_MAE:17.96881021851367	test_MAE:19.14745582460733	test_MadAE:10.914741516113281	test_MRE:0.46421289443969727	test_RMSE:27.580738067626953	test_R^2:0.6393420696258545
epoch:130	train_MAE:17.914086360165793	test_MAE:19.446695537467278	test_MadAE:11.474870681762695	test_MRE:0.498367041349411	test_RMSE:27.59762191772461	test_R^2:0.6389003396034241
epoch:131	train_MAE:18.68022037703607	test_MAE:20.24328805014725	test_MadAE:13.617542266845703	test_MRE:0.5224128365516663	test_RMSE:28.276775360107422	test_R^2:0.6209089756011963
epoch:132	train_MAE:18.107684336823734	test_MAE:19.444323155268325	test_MadAE:12.408523559570312	test_MRE:0.502380907535553	test_RMSE:27.570289611816406	test_R^2:0.6396152377128601
epoch:133	train_MAE:18.32516065844968	test_MAE:20.13887511248364	test_MadAE:13.214630126953125	test_MRE:0.5290341377258301	test_RMSE:28.110124588012695	test_R^2:0.6253641843795776
epoch:134	train_MAE:18.425872145869693	test_MAE:19.29256738792539	test_MadAE:11.1480712890625	test_MRE:0.44322100281715393	test_RMSE:27.747608184814453	test_R^2:0.6349647045135498
epoch:135	train_MAE:17.76882453461315	test_MAE:19.002033653059556	test_MadAE:11.90975570678711	test_MRE:0.47948646545410156	test_RMSE:27.283733367919922	test_R^2:0.6470677852630615
epoch:136	train_MAE:17.998491128563117	test_MAE:19.45811773969241	test_MadAE:12.325469970703125	test_MRE:0.4937293231487274	test_RMSE:27.631507873535156	test_R^2:0.6380130052566528
epoch:137	train_MAE:18.310910458478766	test_MAE:19.338299656413614	test_MadAE:10.420158386230469	test_MRE:0.4405311346054077	test_RMSE:28.043270111083984	test_R^2:0.6271440982818604
epoch:138	train_MAE:17.924348503853984	test_MAE:19.214395093668195	test_MadAE:11.089658737182617	test_MRE:0.47136181592941284	test_RMSE:27.712003707885742	test_R^2:0.6359009146690369
epoch:139	train_MAE:17.59592013888889	test_MAE:19.186697275850786	test_MadAE:12.594182968139648	test_MRE:0.48854637145996094	test_RMSE:27.37950897216797	test_R^2:0.6445856094360352
epoch:140	train_MAE:17.50727621436882	test_MAE:18.987579505481023	test_MadAE:12.268369674682617	test_MRE:0.4779385030269623	test_RMSE:26.955955505371094	test_R^2:0.6554965972900391
epoch:141	train_MAE:17.445250009089587	test_MAE:18.727812602257853	test_MadAE:11.561920166015625	test_MRE:0.47897088527679443	test_RMSE:27.044219970703125	test_R^2:0.6532368659973145
epoch:142	train_MAE:17.959880835514834	test_MAE:19.205901300719894	test_MadAE:13.694686889648438	test_MRE:0.4936920404434204	test_RMSE:27.18462562561035	test_R^2:0.6496272683143616
epoch:143	train_MAE:17.404994500799884	test_MAE:18.769316508507853	test_MadAE:11.399627685546875	test_MRE:0.46102672815322876	test_RMSE:27.007585525512695	test_R^2:0.654175877571106
epoch:144	train_MAE:17.8784494982548	test_MAE:18.798259315690444	test_MadAE:10.41058349609375	test_MRE:0.42880433797836304	test_RMSE:27.55107307434082	test_R^2:0.6401174664497375
epoch:145	train_MAE:18.149326007126238	test_MAE:18.97942444167212	test_MadAE:11.025863647460938	test_MRE:0.43785467743873596	test_RMSE:27.498449325561523	test_R^2:0.6414907574653625
epoch:146	train_MAE:17.294479893833625	test_MAE:18.867732023069372	test_MadAE:11.0206298828125	test_MRE:0.453057199716568	test_RMSE:27.213815689086914	test_R^2:0.6488742828369141
epoch:147	train_MAE:17.45950134525887	test_MAE:19.22559744150851	test_MadAE:12.456947326660156	test_MRE:0.5084850192070007	test_RMSE:27.145471572875977	test_R^2:0.650635838508606
epoch:148	train_MAE:17.20369082678883	test_MAE:18.815386227912303	test_MadAE:12.149200439453125	test_MRE:0.45130977034568787	test_RMSE:27.134904861450195	test_R^2:0.6509075164794922
