SMILES	RT
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCC)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC	45.74572066
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)O)OC)(C#N)C2=CC(=C(C=C2)OC)OC	28.34650737
C1=CC(=C(C=C1Cl)CN)O	102.5216917
CN(C)CC1CCCC1=O	38.04211184
C1=CC(=C(C=C1CC(=O)O)O)O	27.62972379
CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C	93.83283118
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O	13.2031697
CCCCCC/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C	48.53292928
C1=C(C(=NC(=N1)N)N)C(=O)O	117.1173964
CNC1(CCCCC1=O)C2=CC=CC=C2Cl	19.70270163
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CCCCCCCC=CCC=CCCCCC	87.21080115
CN1C=NC2=C1C(=O)N(C(=O)N2)C	19.26302351
CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3	20.97411241
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O	157.2841615
C(CC(=O)NCCS(=O)(=O)O)C(C(=O)O)N	139.4978747
CCCCCC=CCC=CCC=CCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(O)CCCCCCCCCCCCCCCCC	72.50020868
CN(C)CCOCCN(C)C	110.7602536
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC	22.30324277
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O	84.76079671
C(C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O)N	142.6806085
CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C	44.86011194
